Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Preparing frames for constructing fringe PCs, using images in base_images.dat
Elapsed time for initialising was 0.407357931137 seconds
Median residual, sigma, fmask, fsat, background ( Skymapper_0805306614_2014-05-13T21:04:48_17_red ): -1.08544921875 55.3492298363 0.209833979607 0.00183069705963 3542.06860352
Median residual, sigma, fmask, fsat, background ( Skymapper_0805306640_2014-05-13T23:23:41_17_red ): -1.6064453125 50.6536419941 0.193726658821 0.00191020965576 3099.2565918
Median residual, sigma, fmask, fsat, background ( Skymapper_0805307127_2014-05-13T21:10:08_17_red ): 0.111572265625 55.7020579995 0.243557095528 0.00189876556396 3508.28564453
Median residual, sigma, fmask, fsat, background ( Skymapper_0805307153_2014-05-13T23:29:01_17_red ): -1.26171875 51.0078729834 0.182027339935 0.00169610977173 3122.19287109
Median residual, sigma, fmask, fsat, background ( Skymapper_0805307640_2014-05-13T21:15:29_17_red ): -0.63134765625 54.1039792536 0.239003062248 0.00178933143616 3378.14697266
Median residual, sigma, fmask, fsat, background ( Skymapper_0805307666_2014-05-13T23:34:21_17_red ): -1.22314453125 51.3704892637 0.182377696037 0.00179600715637 3192.88818359
Median residual, sigma, fmask, fsat, background ( Skymapper_0805308153_2014-05-13T21:20:49_17_red ): -1.59057617188 52.0730731864 0.202929973602 0.00185513496399 3213.77490234
Median residual, sigma, fmask, fsat, background ( Skymapper_0805308666_2014-05-13T21:26:10_17_red ): -1.6416015625 52.2887739867 0.195432543755 0.00176298618317 3236.24511719
Median residual, sigma, fmask, fsat, background ( Skymapper_0805309203_2014-05-13T23:39:42_17_red ): -1.5146484375 52.3376262922 0.186383008957 0.00175738334656 3294.90283203
Median residual, sigma, fmask, fsat, background ( Skymapper_0805309716_2014-05-13T23:45:02_17_red ): -1.61840820312 51.5522480362 0.188137769699 0.00177204608917 3251.29614258
Median residual, sigma, fmask, fsat, background ( Skymapper_0805310203_2014-05-13T21:31:30_17_red ): -1.39501953125 51.7880411366 0.189955711365 0.00178301334381 3154.57397461
Median residual, sigma, fmask, fsat, background ( Skymapper_0805310229_2014-05-13T23:50:31_17_red ): -1.45776367188 51.5247369462 0.188564181328 0.00174188613892 3244.10888672
Median residual, sigma, fmask, fsat, background ( Skymapper_0805310716_2014-05-13T21:36:51_17_red ): -2.0693359375 51.2807227083 0.196718096733 0.00180101394653 3108.26123047
